BnB,HOA,_id,address,city,dollar_per_sqfeet,lat,location,long,price,property_type,redfin_link,sq_feet,state,year_built
5B6.0B,,5c0a464a6ee39237d843c85a,Residence 2,Irvine,446,33.6826,Altair Irvine - Lumiere,-117.71600000000001,2089990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-2/home/147279709,4686,CA,
4B3.0B,,5c0a464a6ee39237d843c85b,Residence 2,Irvine,483,33.689129799999996,Legado at Portola Springs,-117.71297109999999,1056008,Single-Family,http://www.redfin.com/CA/Irvine/Legado-at-Portola-Springs/Residence-2/home/103993796,2185,CA,
3B2.5B,,5c0a464a6ee39237d843c85c,Residence 2,Irvine,331,33.638998,Great Park Neighborhoods - Chorus at Cadence Park,-117.72009299999999,949990,Multi-Family,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Chorus-at-Cadence-Park/Residence-2/home/147203552,2868,CA,
4B4.0B,,5c0a464a6ee39237d843c85d,Residence 2,Irvine,390,33.6807,Great Park Neighborhoods - Obsidian at Parasol Park,-117.73700000000001,1144990,Single-Family,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Obsidian-at-Parasol-Park/Residence-2/home/144388313,2937,CA,
2B2.0B,,5c0a464a6ee39237d843c85e,Residence 2,Irvine,494,33.68091,Travata - Aldea at Travata,-117.7718375,754990,Multi-Family,http://www.redfin.com/CA/Irvine/Travata-Aldea-at-Travata/Residence-2/home/146746623,1527,CA,
3B3.5B,,5c0a464a6ee39237d843c85f,Residence 2,Irvine,488,33.6826,Altair Irvine - Starlight,-117.71600000000001,1624990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Starlight/Residence-2/home/144216771,3328,CA,
4B4.5B,,5c0a464a6ee39237d843c860,Residence 2,Irvine,492,33.6826,Altair Irvine - Eclipse,-117.71600000000001,1689990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Eclipse/Residence-2/home/144216768,3435,CA,
3B3.5B,,5c0a464a6ee39237d843c861,Residence 2,Irvine,417,33.683999799999995,Sterling at Parasol Park,-117.7406131,689000,Townhouse,http://www.redfin.com/CA/Irvine/Sterling-at-Parasol-Park/Residence-2/home/113707113,1654,CA,
3B3.5B,,5c0a464a6ee39237d843c862,Residence 2,Irvine,541,33.6749995,Travata - Palencia at Travata,-117.7495483,1199990,Single-Family,http://www.redfin.com/CA/Irvine/Travata-Palencia-at-Travata/Residence-2/home/145102178,2220,CA,
4B4.5B,,5c0a464a6ee39237d843c863,Residence 2,Irvine,488,33.6826,Altair Irvine - Solstice,-117.71600000000001,1464990,Single-Family,http://www.redfin.com/CA/Irvine/Altair-Irvine-Solstice/Residence-2/home/144216765,3000,CA,
3B2.0B,,5c0a464a6ee39237d843c864,Residence 2,Irvine,438,33.683059,Lyric at Cadence Park,-117.723445,857860,Single-Family,http://www.redfin.com/CA/Irvine/Lyric-at-Cadence-Park/Residence-2/home/147264811,1958,CA,
3B2.0B,,5c0a464a6ee39237d843c865,Residence 2,Irvine,591,33.6754549,Travata - Castillo at Travata,-117.7490709,924990,Multi-Family,http://www.redfin.com/CA/Irvine/Travata-Castillo-at-Travata/Residence-2/home/145102181,1566,CA,
